weight logl norm alpha beta
2.380340512876277342e-63 -1.519964493156174967e+02 4.537412342005751054e-01 1.345821155214327325e+00 7.140125978668809825e-01
5.686399874726451226e-63 -1.511231155287562444e+02 7.886999894700333691e+00 1.415784467654709777e+00 9.774587016655575944e-01
5.779704199420053547e-63 -1.511043403609002667e+02 1.197915987677480754e+00 1.110349732661730648e+00 6.446759535392219964e-02
7.410659541343999736e-63 -1.508532734234279360e+02 3.578488536735362491e+00 1.167284674670926226e+00 5.752235635068994046e-01
8.107686222745416804e-63 -1.507608803375738944e+02 5.965671362512890319e+00 2.610212455679891352e+00 8.608640475988943441e-02
2.608545301750609261e-62 -1.495898150624069274e+02 6.810802904037069005e+00 3.164782115022277686e+00 7.886912545783152373e-01
5.999566418170996323e-62 -1.487544205697312805e+02 8.866499448964372476e+00 2.010349679722978955e+00 1.176290126118416240e-01
6.446691976399129366e-62 -1.486800406453422170e+02 2.293463849221967887e+00 1.232377405810435755e+00 7.905042568389492041e-02
8.087093318868094534e-62 -1.484508383992950371e+02 8.316653144608435966e+00 1.615161180732027635e+00 5.630326608274608402e-01
1.065601730554152033e-61 -1.481724830348947819e+02 7.333671700941650773e-01 1.250215362636122540e+00 6.604924368536650714e-02
1.169221003155958780e-61 -1.480771849619241607e+02 7.760248980664571583e+00 3.101338045715203773e+00 8.234379244520352303e-01
2.276729650162379758e-61 -1.474082826303982472e+02 9.652396498472837649e+00 1.394032704193870709e+00 1.457359533552892827e+00
2.773683202795121997e-61 -1.472083465666538018e+02 7.478326956450084273e-01 1.218401830721172141e+00 1.454510535740204391e-01
3.089434891669948415e-61 -1.470980344884861495e+02 4.857910506527730599e-01 2.761814948283089599e+00 1.378543820562701194e+00
3.481101745176876271e-61 -1.469761738425930844e+02 7.812123481675285142e+00 1.504269524610947872e+00 7.670318479637295850e-01
1.350802201260302755e-60 -1.456177389475964787e+02 9.613852808594796073e+00 1.439774029487763007e+00 1.348958455171586079e+00
1.463103206536244471e-60 -1.455353779227180553e+02 9.271267004198886497e+00 1.495557133581560727e+00 1.127631371249856906e+00
1.925827678581269142e-60 -1.452580817484903832e+02 7.122147228344239522e+00 3.218154434428528443e+00 9.090366460218413103e-01
8.674616244468586072e-60 -1.437505364988163592e+02 6.148768404971356460e+00 1.216897496018049418e+00 1.264457616930578343e+00
1.325594257273656363e-59 -1.433239916387784092e+02 1.452379205092402703e+00 1.137723761780478293e+00 2.245417023579561189e-01
1.680920349705072845e-59 -1.430840110231098663e+02 6.852069056317517948e+00 1.395228658821517254e+00 9.280164113212808763e-01
9.641245395700669592e-59 -1.413348022030244238e+02 1.632946171024735271e+00 1.223945028285133407e+00 6.398494982588788516e-02
1.204599394767954727e-58 -1.411096203415405341e+02 2.967524395954646454e+00 1.207920723746233715e+00 4.615612956498726382e-01
1.703044855161816270e-58 -1.407608496604912887e+02 5.630296751199491467e+00 1.545098621313893972e+00 3.024156284240697157e-01
2.341030530723150224e-58 -1.404401761705659339e+02 6.521168819011469164e-01 1.101556941268881928e+00 6.727560155528958807e-01
