norm alpha beta
2.728087196916773038e+00 2.646082669781226304e+00 3.358177469893910416e-01
2.925614818129878447e+00 2.631932826580026585e+00 4.003776300142007361e-01
2.550309874901072416e+00 2.615650070002184080e+00 2.028139319398489793e-01
2.821535912918738731e+00 2.723442451642826168e+00 5.566942257274983819e-01
2.815969091528505608e+00 2.506467542088896217e+00 4.458922666380682465e-01
3.308231255126963255e+00 2.591536760553037055e+00 4.770655188375572120e-01
2.784333967977318469e+00 2.553753679271276500e+00 3.460618763940206954e-01
2.707501943414396983e+00 2.628627729068146124e+00 3.275014135568489748e-01
2.788424359315392564e+00 2.558519485289468598e+00 3.387251641916135259e-01
2.751747854790584924e+00 2.574370235774464444e+00 2.620041478194599649e-01
2.559728557931102877e+00 2.688269001684163939e+00 3.308593282103329258e-01
2.599362424044119990e+00 2.654925831981443274e+00 3.976070999351554169e-01
2.985782613257020657e+00 2.632077778384143141e+00 4.377570107845376590e-01
2.970183838674169685e+00 2.505151197370066640e+00 2.604438061447416075e-01
2.718912316803914209e+00 2.646397227707375066e+00 2.929153830456513452e-01
2.491374305315716242e+00 2.666795375496718634e+00 4.061182128489535526e-01
3.314027334004033154e+00 2.514379334586606340e+00 3.924869884063895698e-01
2.792625118221043312e+00 2.635088618933083104e+00 3.615697327169458686e-01
2.748531559414111314e+00 2.599629370564088049e+00 3.281248670424611324e-01
3.001607419061831816e+00 2.492657435254595377e+00 2.308273855373516592e-01
2.820104803403293392e+00 2.590199255450258420e+00 3.378501450106876081e-01
3.244203406329613681e+00 2.673105647614729463e+00 4.920252652190874598e-01
2.951608977563251024e+00 2.749914836861965917e+00 5.740903897480515994e-01
2.705532884885916811e+00 2.620849363569409896e+00 3.485436725180391382e-01
3.097215373882366674e+00 2.576286191860563068e+00 5.110097411336553819e-01
2.858208891124669027e+00 2.516553047329458614e+00 3.465148568598989121e-01
2.499864273782188118e+00 2.644428228561003458e+00 3.138694283312828404e-01
2.546528992624748078e+00 2.607286905947176603e+00 4.426165855296758100e-01
3.049878056349581534e+00 2.665159817630572192e+00 3.803806575272709045e-01
3.356380969718816054e+00 2.571638999977107432e+00 5.736649763642545086e-01
2.913023654737134205e+00 2.636852484363569893e+00 4.540065255107293418e-01
2.280199935506407982e+00 2.458150809992145192e+00 1.896075278308201328e-01
2.435561529755140509e+00 2.635992068031329794e+00 2.781259709272648206e-01
3.222781840123588371e+00 2.773634613807286264e+00 6.704034583754425736e-01
3.135031375274865084e+00 2.572103141458065512e+00 3.471486593160067469e-01
3.773786349733761813e+00 2.490504428927309721e+00 4.322154051619009896e-01
3.008792800762209119e+00 2.702964029422920689e+00 4.276329148881510278e-01
3.074716390621485829e+00 2.604440091021050119e+00 4.247740574651278078e-01
2.676974330940564695e+00 2.631362147393375928e+00 3.184480988853791716e-01
3.015929349427119543e+00 2.570911721774905345e+00 4.294357615183368448e-01
2.701788977359283361e+00 2.376540032366217137e+00 1.281619998668661053e-01
2.825735799207302001e+00 2.544375948932441567e+00 4.403158360305851615e-01
3.060270571130681905e+00 2.575374531029016367e+00 4.364066077849979575e-01
3.241056278274442981e+00 2.520722489191477678e+00 5.131067932052363334e-01
2.617650180822237882e+00 2.611608707934227169e+00 3.105232333218760910e-01
2.463683302190855517e+00 2.623877227145554158e+00 4.027610549889311664e-01
2.946354255663671040e+00 2.636255874895616191e+00 4.393786577997043641e-01
2.721502022491326223e+00 2.604853987105953728e+00 2.602993012813582530e-01
2.316585270670109775e+00 2.502518002869785985e+00 1.290571443895824344e-01
3.417897048467063659e+00 2.572192440023869153e+00 5.314191370167679063e-01
3.283497305359396101e+00 2.587659267213815006e+00 3.883532053185340116e-01
2.990495760815327309e+00 2.435731513566159023e+00 3.165735491957299419e-01
2.919925030236781627e+00 2.618053378900359274e+00 3.696471010791993472e-01
2.932961695318323514e+00 2.587633527710137660e+00 3.854327960405937170e-01
2.857259764188166962e+00 2.659362665482387200e+00 4.677459297357589030e-01
3.125821264970799263e+00 2.611758418491957556e+00 5.728117485009319720e-01
3.266729475612696998e+00 2.520203396306145649e+00 4.883103265608239596e-01
2.854769412291947361e+00 2.504962703298328375e+00 2.117793836445435174e-01
2.669663842986253588e+00 2.500206912821787864e+00 2.146638280895582507e-01
2.853550236900546544e+00 2.543830153358073165e+00 3.662714523667248145e-01
2.480962028963011434e+00 2.669799491299724270e+00 3.422948657120349902e-01
2.204225204716357744e+00 2.622774295448039084e+00 2.195894598778624363e-01
2.572354929517742139e+00 2.588092458064582324e+00 2.644516091292605786e-01
2.986243293491123829e+00 2.609279272051712617e+00 3.333075003503099265e-01
2.976753721075947823e+00 2.722881417820410377e+00 5.909505204928462430e-01
2.867222353930828138e+00 2.457559544815776320e+00 2.272597380451934490e-01
2.724337296825324550e+00 2.520697699720242380e+00 2.721104890285493960e-01
2.687958422865154517e+00 2.729123379893007684e+00 4.351565501897137755e-01
3.822692180828670683e+00 2.718223270356085131e+00 5.911075632209549235e-01
3.277611812642191147e+00 2.613518444324792966e+00 5.219957608478337230e-01
2.774961774001566184e+00 2.639623374391589117e+00 3.738070866287739324e-01
2.665976519145729640e+00 2.625684941042155884e+00 3.762237976901815495e-01
3.336655214649918655e+00 2.452278857977851168e+00 2.460832656229034465e-01
2.580159304091860673e+00 2.675992708935498676e+00 4.246915733611033583e-01
2.971133545678892318e+00 2.773705653830213169e+00 6.519437313907023857e-01
2.879171018323136710e+00 2.588051406938785437e+00 3.862729279354668588e-01
3.418648259995343608e+00 2.641691624988294684e+00 5.353068608138239481e-01
2.922128606483393121e+00 2.753278548171850026e+00 4.770187717557100027e-01
3.076485973734757629e+00 2.664783621091753485e+00 4.509754279032049396e-01
3.415366973397073735e+00 2.593417443971276271e+00 4.459682159447799776e-01
2.663563746885140304e+00 2.703292359914150289e+00 3.931699168270114120e-01
2.707178275332461137e+00 2.541059940105694359e+00 1.461085590486508878e-01
3.015153878920270536e+00 2.648404453887862608e+00 4.997090548767132989e-01
3.316237844392703416e+00 2.752941999014183683e+00 5.742705008642037257e-01
2.438719897545580384e+00 2.554878993965687961e+00 1.904950057390914497e-01
2.906443836764296851e+00 2.761116618406606271e+00 4.522695942328827101e-01
3.081921867484541444e+00 2.518691001726899081e+00 4.707022762404670102e-01
2.564908132729639245e+00 2.694753987527056083e+00 3.451532508878514260e-01
3.129427199515384395e+00 2.714573592644196509e+00 5.178432094870177860e-01
